model_version,experiment,condition,seed,cond_recover_at,config_id,PERSONALITY_WEIGHT,TRAIT_DRIFT,TRAIT_SATURATION,LANDMARK_BONUS,HARDSHIP_MAX_BOOST,FLOOR_DECAY_PER_DAY,LANDMARK_PERMANENT,GOAL_BONUS,GOAL_OFF_TASK,GOAL_SWITCH_MARGIN,GOAL_MIN_DAYS,GOAL_REFRACTORY,GOAL_STALL_DAYS,GOAL_SLACK_FOOD,GOAL_SLACK_COND,n_move,n_stay,dead_move,dead_stay,ratio_move,logratio_move,ratio_stay,goal_ratio_move,keep
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,240,16.277423,1.207639,0.129408,13.156998,24.786377,0.37045,0.417827,36.357652,11.532809,0.389335,4,10,4,7.451449,86.623291,293,270,0.0233,0.1,1.01022,0.00011,1.29597,0.88491,0.77951
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,238,18.837644,2.043749,0.150979,30.362558,20.48361,0.677161,0.208612,24.605276,15.772267,0.300705,4,3,3,4.165937,79.089801,283,225,0.0567,0.25,1.32666,0.27837,1.40802,0.87562,0.94222
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,237,29.570462,1.406804,0.382984,23.361234,31.985575,0.351304,0.256981,62.25117,10.651132,0.41408,3,8,2,2.927508,83.800674,295,264,0.0167,0.12,1.04218,0.03465,1.31507,1.01558,0.79249
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,241,28.43112,0.966452,0.192128,13.093292,11.469478,0.466257,0.596445,55.100386,13.762257,0.372975,1,10,3,4.742954,77.200357,293,257,0.0233,0.1433,1.03946,0.03155,1.38831,1.08969,0.74873
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,244,42.657587,1.941007,0.948807,15.005007,23.785616,0.455138,0.414213,33.225172,10.608039,0.133417,3,4,4,5.564412,77.558501,147,66,0.51,0.78,1.69401,0.5709,1.3917,1.10476,1.21722
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,243,28.31887,0.978108,0.731803,30.769108,31.4441,0.215851,0.230787,30.161705,8.027435,0.167163,3,4,2,6.845538,85.183854,288,237,0.04,0.21,1.08274,0.0668,1.19729,0.99852,0.90432
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,245,28.94542,0.633306,0.651586,26.393076,18.685785,0.208331,0.154129,58.045962,27.621622,0.292232,3,9,7,5.749802,84.141897,295,273,0.0167,0.09,0.97513,-0.03419,1.3354,1.14999,0.73021
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,246,21.367657,1.090603,0.949428,19.758914,21.38099,0.217834,0.734822,27.292641,7.157707,0.167697,2,7,6,2.352872,95.710794,287,249,0.0433,0.17,1.08365,0.0557,1.29878,0.86436,0.83437
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,247,22.613079,2.07262,0.89968,43.524489,12.234781,0.419873,0.747245,61.572262,7.458128,0.451289,1,7,3,2.959509,73.678296,289,240,0.0367,0.2,1.07556,0.07178,1.2829,0.87407,0.83838
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,248,16.105342,1.179717,0.454937,15.885698,17.153294,0.629569,0.540027,52.050891,20.329594,0.181479,4,6,8,5.172341,74.579567,294,274,0.02,0.0867,0.99843,-0.00667,1.35566,0.97037,0.73649
