config_id,PERSONALITY_WEIGHT,TRAIT_DRIFT,TRAIT_SATURATION,LANDMARK_BONUS,HARDSHIP_MAX_BOOST,FLOOR_DECAY_PER_DAY,LANDMARK_PERMANENT,GOAL_BONUS,GOAL_OFF_TASK,GOAL_SWITCH_MARGIN,GOAL_MIN_DAYS,GOAL_REFRACTORY,GOAL_STALL_DAYS,GOAL_SLACK_FOOD,GOAL_SLACK_COND,n_move,n_stay,dead_move,dead_stay,ratio_move,logratio_move,ratio_stay,goal_ratio_move,keep
101,18.745543,1.94358,0.688304,29.727879,25.209529,0.322461,0.461919,22.057362,8.830697,0.13248,4,10,3,3.52062,90.860677,277,197,0.0767,0.3433,1.20227,0.17281,1.25479,1.12234,0.95814
99,33.537534,1.332988,0.177888,23.676627,15.043893,0.583251,0.29296,29.208604,16.888156,0.343392,4,12,7,4.176563,65.582696,188,99,0.3733,0.67,1.41963,0.34996,1.331,1.21208,1.06659
102,16.945221,1.724524,0.040368,35.605999,17.588376,0.396199,0.379291,29.936251,15.741631,0.250278,1,7,2,3.562368,90.951445,283,218,0.0567,0.2733,1.11365,0.08982,1.25277,1.07047,0.88895
103,30.711304,1.196101,0.179064,36.002867,16.907785,0.667971,0.42196,47.573996,9.331408,0.272436,1,3,6,4.071893,78.971135,199,136,0.3367,0.5467,1.10848,0.092,1.30668,1.16442,0.84832
107,35.249406,0.699482,0.644329,40.352624,38.195882,0.193757,0.215374,55.468395,11.559407,0.220663,1,11,7,5.003712,66.659986,171,84,0.43,0.72,1.06609,0.06549,1.18065,1.05845,0.90298
105,18.645668,2.111773,0.85785,47.466187,23.147432,0.250389,0.627372,31.030962,9.961008,0.374613,3,6,6,2.765889,85.890881,274,215,0.0867,0.2833,1.12274,0.11826,1.29055,1.04597,0.86997
109,23.317181,1.398015,0.852014,25.186104,28.24826,0.635101,0.214715,29.183631,24.001397,0.316894,4,6,4,3.876701,65.85017,285,227,0.05,0.2433,1.12459,0.097,1.30177,1.03947,0.86389
111,22.38977,0.93861,0.080716,14.438202,42.756382,0.519798,0.674805,34.804524,12.798969,0.223239,2,12,5,6.63041,98.964266,284,243,0.0533,0.19,1.11371,0.08317,1.31138,0.96705,0.84927
114,31.005065,1.111666,0.045207,14.782682,13.573626,0.17636,0.669118,18.62804,8.060556,0.252031,1,8,2,3.587231,89.556851,244,161,0.1867,0.4633,1.00277,-0.00573,1.03357,1.11115,0.9702
115,16.760315,1.013747,0.717557,18.616502,21.423171,0.602287,0.736857,46.067554,18.37916,0.165772,3,12,8,2.394612,66.6272,296,275,0.0133,0.0833,1.01698,0.00469,1.42015,1.00369,0.71611
118,21.664644,0.84198,0.778551,21.475887,11.025988,0.370406,0.587025,28.199833,12.003028,0.377797,1,4,6,5.874836,70.372811,285,234,0.05,0.22,1.12462,0.08691,1.29418,0.95162,0.86898
112,21.789846,1.464285,0.312844,32.792293,14.488049,0.652684,0.506865,17.472859,27.929548,0.217906,1,9,7,4.533847,65.391369,268,162,0.1067,0.46,0.97951,-0.01999,1.12041,1.17825,0.87425
120,16.542594,0.703055,0.892426,25.849892,18.609639,0.310775,0.693033,16.995398,8.704187,0.180514,1,12,3,5.00388,96.02008,277,204,0.0767,0.32,0.88891,-0.11537,1.00727,0.90759,0.88249
116,22.566451,1.002104,0.827246,29.012004,33.423904,0.680551,0.502907,20.838839,9.643102,0.201561,3,4,8,4.420647,99.002497,280,210,0.0667,0.3,1.05108,0.03679,1.16236,1.04251,0.90426
117,24.484845,1.795304,0.584415,45.439058,15.903104,0.281572,0.425444,28.871054,15.4362,0.412559,1,7,2,6.212203,77.94656,191,81,0.3633,0.73,1.39754,0.33404,1.4263,1.19965,0.97984
